punk,hardcore,ska
rock,alternative,grunge,glam,garage,surf
metal,thrash,death
country,bluegrass,americana,western
world,folk,folklore,ethnic,flamenco
jazz,fusion,rag,swing,bigband,bop
blues
hiphop,rap,freestyle
randb,funk,soul,motown
reggae,dub,ragga
electronic,ambient,dance,house,rave,techno,trance
classical,chamber,acappella,choral,chorus,opera,piano,romantic,symphony,early,baroque,modern,contemporary
pop
soundtrack,screen
